id_detalle,id_venta,id_producto,cantidad,precio_unitario,subtotal
7501,1254,114,2,80.31,160.62
7502,1090,356,5,255.14,1275.70
7503,1336,412,5,15.53,77.65
7504,358,99,3,202.54,607.62
7505,341,267,2,58.87,117.74
7506,840,78,5,229.28,1146.40
7507,1625,78,1,248.51,248.51
7508,919,307,3,36.68,110.04
7509,766,123,4,248.46,993.84
7510,682,206,5,268.42,1342.10
7511,47,334,4,152.56,610.24
7512,1625,406,2,204.65,409.30
7513,618,445,1,120.67,120.67
7514,1534,179,3,254.30,762.90
7515,835,245,4,183.08,732.32
7516,893,266,3,49.80,149.40
7517,1936,374,5,87.30,436.50
7518,1004,446,3,185.09,555.27
7519,451,6,1,292.73,292.73
7520,196,9,1,167.07,167.07
7521,694,428,2,251.54,503.08
7522,1936,326,4,79.75,319.00
7523,353,447,5,20.69,103.45
7524,1872,72,3,261.45,784.35
7525,1083,267,6,100.71,604.26
7526,96,490,4,162.17,648.68
7527,805,245,5,221.49,1107.45
7528,197,33,3,271.39,814.17
7529,1238,123,2,142.68,285.36
7530,267,136,3,111.88,335.64
7531,1341,293,2,218.93,437.86
7532,655,408,4,219.11,876.44
7533,1077,302,4,228.72,914.88
7534,901,367,3,76.52,229.56
7535,1247,200,3,274.29,822.87
7536,919,445,2,19.65,39.30
7537,1023,131,3,308.80,926.40
7538,951,250,3,261.76,785.28
7539,925,78,3,246.69,740.07
7540,1579,267,3,92.56,277.68
7541,1259,348,2,307.83,615.66
7542,846,264,3,276.68,830.04
7543,1541,99,4,247.61,990.44
7544,138,451,2,10.68,21.36
7545,1247,70,4,42.66,170.64
7546,1371,453,6,41.01,246.06
7547,644,163,1,100.23,100.23
7548,28,85,3,181.27,543.81
7549,1773,105,6,236.10,1416.60
7550,303,326,3,25.60,76.80
7551,1013,7,3,118.94,356.82
7552,989,353,4,160.64,642.56
7553,1896,60,5,121.63,608.15
7554,181,181,6,189.30,1135.80
7555,760,328,5,144.36,721.80
7556,195,23,1,154.17,154.17
7557,921,80,3,37.80,113.40
7558,262,455,2,282.12,564.24
7559,871,379,3,61.19,183.57
7560,264,3,4,97.75,391.00
7561,784,335,5,245.74,1228.70
7562,553,490,5,297.36,1486.80
7563,1410,189,6,204.95,1229.70
7564,1309,126,3,225.41,676.23
7565,1982,127,5,57.62,288.10
7566,145,75,2,158.76,317.52
7567,1532,309,4,286.32,1145.28
7568,1806,460,5,196.81,984.05
7569,511,312,3,272.36,817.08
7570,786,500,3,145.42,436.26
7571,1141,338,5,49.83,249.15
7572,510,129,5,26.27,131.35
7573,589,403,6,32.51,195.06
7574,1573,31,5,301.71,1508.55
7575,263,46,4,243.64,974.56
7576,509,38,2,255.83,511.66
7577,655,320,1,224.61,224.61
7578,1556,473,2,45.95,91.90
7579,1422,419,2,53.18,106.36
7580,913,264,4,126.44,505.76
7581,1314,315,4,303.50,1214.00
7582,687,146,4,211.45,845.80
7583,300,427,4,155.97,623.88
7584,547,273,2,250.72,501.44
7585,794,210,3,295.95,887.85
7586,487,433,4,184.23,736.92
7587,1353,384,5,95.51,477.55
7588,1998,124,1,56.48,56.48
7589,1771,467,5,284.87,1424.35
7590,961,38,6,252.86,1517.16
7591,1733,153,5,307.44,1537.20
7592,1453,454,5,113.28,566.40
7593,1317,290,3,62.48,187.44
7594,431,243,3,216.50,649.50
7595,783,480,6,302.23,1813.38
7596,1513,56,4,10.73,42.92
7597,852,186,3,275.84,827.52
7598,655,83,5,232.86,1164.30
7599,26,275,5,81.83,409.15
7600,585,380,4,192.63,770.52
7601,1904,168,4,20.73,82.92
7602,920,55,4,197.44,789.76
7603,1589,334,2,299.65,599.30
7604,576,373,5,33.37,166.85
7605,207,135,5,305.69,1528.45
7606,413,448,5,126.87,634.35
7607,1868,328,2,113.25,226.50
7608,532,240,3,66.36,199.08
7609,780,157,2,40.66,81.32
7610,1834,447,4,110.28,441.12
7611,1916,383,4,128.47,513.88
7612,1436,150,2,27.39,54.78
7613,922,245,5,245.22,1226.10
7614,1310,485,2,138.21,276.42
7615,1744,306,6,192.83,1156.98
7616,900,104,3,246.35,739.05
7617,46,460,1,227.46,227.46
7618,200,327,4,142.06,568.24
7619,1363,292,1,263.01,263.01
7620,1984,453,2,223.32,446.64
7621,1431,354,3,229.22,687.66
7622,1891,464,2,164.96,329.92
7623,1634,289,1,258.26,258.26
7624,21,11,4,18.72,74.88
7625,1102,35,2,216.20,432.40
7626,317,293,3,241.24,723.72
7627,963,309,4,64.99,259.96
7628,1125,486,3,138.58,415.74
7629,1346,272,2,194.98,389.96
7630,636,195,4,271.73,1086.92
7631,727,281,3,217.80,653.40
7632,1022,246,4,95.45,381.80
7633,1608,400,5,153.68,768.40
7634,1381,108,4,277.23,1108.92
7635,619,121,2,229.82,459.64
7636,55,269,2,185.73,371.46
7637,358,321,4,189.07,756.28
7638,1118,43,3,242.48,727.44
7639,1591,308,1,245.58,245.58
7640,69,217,4,30.60,122.40
7641,171,277,3,34.33,102.99
7642,474,120,5,26.12,130.60
7643,1707,31,1,221.90,221.90
7644,371,387,3,236.75,710.25
7645,894,170,4,124.73,498.92
7646,1152,10,5,262.36,1311.80
7647,611,472,2,73.95,147.90
7648,1800,147,3,286.15,858.45
7649,1941,349,2,238.51,477.02
7650,725,460,4,11.16,44.64
7651,1181,18,1,104.53,104.53
7652,1535,2,3,86.84,260.52
7653,2,138,2,223.88,447.76
7654,1151,350,5,198.36,991.80
7655,1594,429,1,36.49,36.49
7656,1964,264,3,163.22,489.66
7657,255,407,4,302.89,1211.56
7658,18,375,1,235.51,235.51
7659,698,310,2,160.55,321.10
7660,87,238,4,120.17,480.68
7661,393,412,1,22.47,22.47
7662,1761,351,6,246.16,1476.96
7663,1792,432,2,295.52,591.04
7664,860,163,6,264.06,1584.36
7665,462,66,1,47.98,47.98
7666,197,123,4,116.30,465.20
