id_producto,nombre,descripcion,id_categoria,id_proveedor,precio_compra,precio_venta,stock_minimo,estado
1,Leche Gloria 1,Producto de la categoría asignada,7,12,96.45,313.57,5,1
2,Laptop Lenovo 2,Producto de la categoría asignada,3,12,183.95,874.84,4,1
3,Lego City 3,Producto de la categoría asignada,6,22,395.41,283.78,9,1
4,Camiseta Deportiva 4,Producto de la categoría asignada,5,39,292.90,739.99,9,1
5,Celular Samsung 5,Producto de la categoría asignada,7,36,240.17,770.79,2,1
6,Lego City 6,Producto de la categoría asignada,2,24,487.86,361.26,9,1
7,Celular Samsung 7,Producto de la categoría asignada,5,50,487.67,290.96,3,1
8,Leche Gloria 8,Producto de la categoría asignada,1,43,141.04,850.16,8,1
9,Refrigeradora LG 9,Producto de la categoría asignada,6,47,188.71,253.02,6,1
10,Lego City 10,Producto de la categoría asignada,6,21,60.81,890.64,4,1
11,Lego City 11,Producto de la categoría asignada,6,23,382.71,609.93,5,1
12,Lego City 12,Producto de la categoría asignada,3,45,354.50,586.73,7,1
13,Lego City 13,Producto de la categoría asignada,1,36,406.21,286.35,10,1
14,Laptop Lenovo 14,Producto de la categoría asignada,7,46,485.82,326.57,10,1
15,Celular Samsung 15,Producto de la categoría asignada,4,47,220.59,355.43,3,1
16,Monitor LG 16,Producto de la categoría asignada,6,29,268.18,570.80,8,1
17,Leche Gloria 17,Producto de la categoría asignada,4,38,130.16,896.93,8,1
18,Celular Samsung 18,Producto de la categoría asignada,4,34,291.45,197.82,8,1
19,Monitor LG 19,Producto de la categoría asignada,2,7,268.22,667.27,1,1
20,Sofá 3 Plazas 20,Producto de la categoría asignada,6,39,538.77,318.63,5,1
21,Celular Samsung 21,Producto de la categoría asignada,7,17,180.21,358.73,3,1
22,Refrigeradora LG 22,Producto de la categoría asignada,2,31,93.66,160.70,9,1
23,Laptop Lenovo 23,Producto de la categoría asignada,5,16,526.18,907.22,2,1
24,Sofá 3 Plazas 24,Producto de la categoría asignada,4,46,393.17,272.66,5,1
25,Camiseta Deportiva 25,Producto de la categoría asignada,5,13,128.46,548.59,4,1
26,Sofá 3 Plazas 26,Producto de la categoría asignada,3,36,433.00,657.84,2,1
27,Leche Gloria 27,Producto de la categoría asignada,7,42,160.30,337.19,8,1
28,Laptop Lenovo 28,Producto de la categoría asignada,5,24,465.51,992.11,5,1
29,Laptop Lenovo 29,Producto de la categoría asignada,6,11,138.30,663.56,8,1
30,Zapatillas Nike 30,Producto de la categoría asignada,8,28,413.33,393.09,9,1
31,Monitor LG 31,Producto de la categoría asignada,1,38,423.02,928.88,4,1
32,Sofá 3 Plazas 32,Producto de la categoría asignada,1,14,395.03,812.67,10,1
33,Zapatillas Nike 33,Producto de la categoría asignada,2,5,360.71,712.21,4,1
34,Leche Gloria 34,Producto de la categoría asignada,3,5,532.90,795.27,8,1
35,Zapatillas Nike 35,Producto de la categoría asignada,6,8,229.93,403.21,10,1
36,Refrigeradora LG 36,Producto de la categoría asignada,5,40,477.81,302.16,4,1
37,Bicicleta Montaña 37,Producto de la categoría asignada,6,32,426.25,334.55,8,1
38,Bicicleta Montaña 38,Producto de la categoría asignada,6,25,283.01,338.17,9,1
39,Lego City 39,Producto de la categoría asignada,5,15,482.54,444.94,7,1
40,Zapatillas Nike 40,Producto de la categoría asignada,7,6,482.96,558.22,8,1
41,Camiseta Deportiva 41,Producto de la categoría asignada,8,28,255.98,245.15,3,1
