id_venta,fecha_venta,cliente_id,empleado_id,id_tienda,total,estado
34001,2025-06-20 11:17:54.912227,338,32,4,91.53,ACTIVA
34002,2025-08-07 14:30:59.869783,732,42,12,132.45,ACTIVA
34003,2025-03-20 20:07:14.378618,476,84,8,258.04,ACTIVA
34004,2025-08-01 12:29:17.955785,156,65,4,989.04,ACTIVA
34005,2025-08-08 00:29:36.553877,42,37,8,343.80,ACTIVA
34006,2025-03-23 07:05:45.503454,888,88,3,907.12,ACTIVA
34007,2025-07-02 11:38:06.162061,777,67,8,482.83,ACTIVA
34008,2025-06-10 18:25:54.921503,506,41,4,1048.06,ACTIVA
34009,2025-04-25 00:02:01.088034,777,4,2,732.58,ACTIVA
34010,2025-06-30 00:52:57.14209,192,61,4,238.29,ACTIVA
34011,2025-08-03 02:52:55.026153,316,48,14,855.39,ACTIVA
34012,2025-03-22 05:50:23.21255,308,22,12,697.33,ACTIVA
34013,2025-04-28 09:39:27.106727,929,80,11,104.61,ACTIVA
34014,2025-08-15 03:31:29.876918,812,100,4,622.89,ACTIVA
34015,2025-07-11 00:56:19.866044,983,70,3,533.93,ACTIVA
34016,2025-07-05 18:34:08.605816,689,36,3,1024.97,ACTIVA
34017,2025-03-31 02:20:07.470049,341,72,3,424.19,ACTIVA
34018,2025-07-24 09:00:01.65691,797,16,5,729.47,ACTIVA
34019,2025-06-21 16:58:53.253162,410,55,7,622.13,ACTIVA
34020,2025-04-14 06:54:33.041265,917,74,13,291.99,ACTIVA
34021,2025-04-15 03:11:09.681487,702,18,12,832.37,ACTIVA
34022,2025-07-24 10:46:30.328798,934,54,6,212.15,ACTIVA
34023,2025-07-23 00:21:03.065108,781,33,6,128.29,ACTIVA
34024,2025-04-22 12:51:08.335704,622,96,10,982.72,ACTIVA
34025,2025-08-18 15:58:01.743669,783,64,10,123.22,ACTIVA
34026,2025-04-26 04:12:43.955351,875,66,8,631.40,ACTIVA
34027,2025-09-04 04:04:33.514811,450,91,1,782.83,ACTIVA
34028,2025-06-28 07:22:05.008379,705,47,3,606.62,ACTIVA
34029,2025-05-11 13:52:22.099493,784,41,6,592.11,ACTIVA
34030,2025-04-13 17:28:20.142285,711,69,9,235.86,ACTIVA
34031,2025-04-06 15:32:55.935723,285,3,14,938.67,ACTIVA
34032,2025-08-28 21:15:07.24015,540,42,10,404.04,ACTIVA
34033,2025-07-02 21:35:30.165777,574,34,10,724.02,ACTIVA
34034,2025-05-09 19:47:52.952354,214,55,12,429.63,ACTIVA
34035,2025-05-15 09:29:45.014821,675,8,9,556.82,ACTIVA
34036,2025-04-10 18:20:22.551215,667,85,11,892.95,ACTIVA
34037,2025-05-29 08:55:24.38078,402,86,15,209.91,ACTIVA
34038,2025-05-05 14:38:29.880924,393,19,11,848.31,ACTIVA
34039,2025-07-22 01:43:24.014117,260,8,4,388.48,ACTIVA
34040,2025-03-29 10:01:33.503004,89,23,10,1029.84,ACTIVA
34041,2025-07-18 03:32:51.769093,192,100,3,843.12,ANULADA
34042,2025-04-04 19:57:51.319801,874,14,8,595.62,ACTIVA
34043,2025-07-19 15:22:23.351969,765,38,13,485.75,ACTIVA
34044,2025-08-17 07:30:46.147561,571,89,14,409.99,ACTIVA
34045,2025-04-03 04:15:19.653539,993,70,3,248.99,ACTIVA
34046,2025-08-30 19:13:14.731538,88,27,2,747.04,ACTIVA
34047,2025-05-15 02:16:49.027628,506,30,5,1008.90,ACTIVA
34048,2025-04-16 23:08:59.798988,511,78,9,353.04,ACTIVA
34049,2025-05-25 21:32:59.779289,483,39,1,275.21,ACTIVA
34050,2025-05-04 10:27:19.175375,728,64,14,866.21,ANULADA
34051,2025-07-17 20:06:00.359284,627,65,6,220.84,ACTIVA
34052,2025-07-22 01:05:13.590421,707,52,3,560.05,ACTIVA
34053,2025-05-18 06:02:49.796496,89,95,15,69.43,ACTIVA
34054,2025-07-26 19:42:24.031955,818,89,7,748.47,ACTIVA
34055,2025-08-28 23:51:41.68217,687,71,2,116.97,ACTIVA
34056,2025-05-25 02:14:12.52948,389,88,12,1042.93,ACTIVA
34057,2025-06-23 15:28:51.925238,353,90,10,300.13,ACTIVA
34058,2025-04-24 18:36:42.757783,867,69,11,145.90,ACTIVA
